state,population
California,39237836
Texas,29527941
Florida,21781128
New York,19835913
Pennsylvania,12964056
Illinois,12671469
Ohio,11780017
Georgia,10799566
North Carolina,10551162
Michigan,10050811
New Jersey,9267130
Virginia,8642274
Washington,7738692
Arizona,7276316
Massachusetts,6984723
Tennessee,6975218
Indiana,6805985
Maryland,6165129
Missouri,6168187
Wisconsin,5895908
Colorado,5812069
Minnesota,5707390
South Carolina,5190705
Alabama,5039877
Louisiana,4624047
Kentucky,4509394
Oregon,4246155
Oklahoma,3986639
Connecticut,3605597
Puerto Rico,3285874
Iowa,3179849
Utah,3271616
Arkansas,3024692
Nevada,3080156
Mississippi,2961279
Kansas,2937880
New Mexico,2106013
Nebraska,1961504
West Virginia,1793716
Idaho,1835535
Hawaii,1415872
New Hampshire,1371246
Maine,1358574
Montana,1084225
Rhode Island,1097379
Delaware,989948
South Dakota,886667
North Dakota,762062
Alaska,731545
Vermont,623347
Wyoming,576851
